ACCESSIBLE,False,False
ACCOUNT,False,False
ACTION,False,False
ACTIVE,False,False
ADD,False,False
ADMIN,False,False
AFTER,False,False
AGAINST,False,False
AGGREGATE,False,False
ALGORITHM,False,False
ALL,False,False
ALTER,False,False
ALWAYS,False,False
ANALYSE,False,True
ANALYZE,False,False
AND,False,False
ANY,False,False
ARRAY,False,False
AS,False,False
ASC,False,False
ASCII,False,False
ASENSITIVE,False,False
AT,False,False
ATTRIBUTE,False,False
AUTHENTICATION,False,False
AUTOEXTEND_SIZE,False,False
AUTO_INCREMENT,False,False
AVG,False,False
AVG_ROW_LENGTH,False,False
BACKUP,False,False
BEFORE,False,False
BEGIN,False,False
BETWEEN,False,False
BIGINT,False,False
BINARY,False,False
BINLOG,False,False
BIT,False,False
BLOB,False,False
BLOCK,False,False
BOOL,False,False
BOOLEAN,False,False
BOTH,False,False
BTREE,False,False
BUCKETS,False,False
BULK,False,False
BY,False,False
BYTE,False,False
CACHE,False,False
CALL,False,False
CASCADE,False,False
CASCADED,False,False
CASE,False,False
CATALOG_NAME,False,False
CHAIN,False,False
CHALLENGE_RESPONSE,False,False
CHANGE,False,False
CHANGED,False,False
CHANNEL,False,False
CHAR,False,False
CHARACTER,False,False
CHARSET,False,False
CHECK,False,False
CHECKSUM,False,False
CIPHER,False,False
CLASS_ORIGIN,False,False
CLIENT,False,False
CLONE,False,False
CLOSE,False,False
COALESCE,False,False
CODE,False,False
COLLATE,False,False
COLLATION,False,False
COLUMN,False,False
COLUMNS,False,False
COLUMN_FORMAT,False,False
COLUMN_NAME,False,False
COMMENT,False,False
COMMIT,False,False
COMMITTED,False,False
COMPACT,False,False
COMPLETION,False,False
COMPONENT,False,False
COMPRESSED,False,False
COMPRESSION,False,False
CONCURRENT,False,False
CONDITION,False,False
CONNECTION,False,False
CONSISTENT,False,False
CONSTRAINT,False,False
CONSTRAINT_CATALOG,False,False
CONSTRAINT_NAME,False,False
CONSTRAINT_SCHEMA,False,False
CONTAINS,False,False
CONTEXT,False,False
CONTINUE,False,False
CONVERT,False,False
CPU,False,False
CREATE,False,False
CROSS,False,False
CUBE,False,False
CUME_DIST,False,False
CURRENT,False,False
CURRENT_DATE,False,False
CURRENT_TIME,False,False
CURRENT_TIMESTAMP,False,False
CURRENT_USER,False,False
CURSOR,False,False
CURSOR_NAME,False,False
DATA,False,False
DATABASE,False,False
DATABASES,False,False
DATAFILE,False,False
DATE,False,False
DATETIME,False,False
DAY,False,False
DAY_HOUR,False,False
DAY_MICROSECOND,False,False
DAY_MINUTE,False,False
DAY_SECOND,False,False
DEALLOCATE,False,False
DEC,False,False
DECIMAL,False,False
DECLARE,False,False
DEFAULT,False,False
DEFAULT_AUTH,False,False
DEFINER,False,False
DEFINITION,False,False
DELAYED,False,False
DELAY_KEY_WRITE,False,False
DELETE,False,False
DENSE_RANK,False,False
DESC,False,False
